cause,cause_cluster,effect,effect_cluster,text,id
the tohoku earthquake,15,the 2011 fukushima disaster,0,"reflecting on the 2011 fukushima disaster triggered by the tōhoku earthquake and tsunami. from a nuclear crisis to setsuden, it reshaped japan’s energy landscape and affected lives globally. fukushima tsunami nucleardisaster energycrisis setsuden japan",957
tsunami,6,the 2011 fukushima disaster,0,"reflecting on the 2011 fukushima disaster triggered by the tōhoku earthquake and tsunami. from a nuclear crisis to setsuden, it reshaped japan’s energy landscape and affected lives globally. fukushima tsunami nucleardisaster energycrisis setsuden japan",958
earthquake,1,nuclear meltdown,0,"earthquake causes nuclear meltdown in japan, resulting in a threat of widespread damage. ",959
earthquake,1,widespread damage,7,"earthquake causes nuclear meltdown in japan, resulting in a threat of widespread damage. ",960
a massive earthquake,1,a tsunami,6,"in 2011, japan faced a massive earthquake, causing a tsunami which destroyed the fukushima nuclear power plant. to prevent radioactive contamination and energy shortages, japan has adopted new construction and energy-saving protocols.",961
the earthquake,1,the effects,5,"sad to hear about the effects from the earthquake in 2011 in japan. it caused a tsunami which then hit a nuclear power plant and caused it to melt down. today, there's still radiation that has affected people. infant girls at the time are more likely to suffer health concerns. ",962
the earthquake,1,a tsunami,6,"sad to hear about the effects from the earthquake in 2011 in japan. it caused a tsunami which then hit a nuclear power plant and caused it to melt down. today, there's still radiation that has affected people. infant girls at the time are more likely to suffer health concerns. ",963
an earthquake,1,a meltdown,0,"in 2011 there was a power plant in fukushima, japan that had a meltdown exasperated by an earthquake and a tsunami. this eventually cost the lives of 156,000 citizens and turned the country to energy reduction policies that helped paved the way for a greener future.",964
a tsunami,6,a meltdown,0,"in 2011 there was a power plant in fukushima, japan that had a meltdown exasperated by an earthquake and a tsunami. this eventually cost the lives of 156,000 citizens and turned the country to energy reduction policies that helped paved the way for a greener future.",965
the fukushima nuclear accident,0,tsunamis,6,"the fukushima nuclear accident happened in 2011 in japan. it caused tsunamis and destruction to an area of japan. people were immediately affected, and will be for years to come. the japanese have decreased energy use due to this accident, and now it has started a movement.",966
the fukushima nuclear accident,0,destruction,13,"the fukushima nuclear accident happened in 2011 in japan. it caused tsunamis and destruction to an area of japan. people were immediately affected, and will be for years to come. the japanese have decreased energy use due to this accident, and now it has started a movement.",967
this accident,16,decreased energy use,2,"the fukushima nuclear accident happened in 2011 in japan. it caused tsunamis and destruction to an area of japan. people were immediately affected, and will be for years to come. the japanese have decreased energy use due to this accident, and now it has started a movement.",968
this nuclear accident,0,more problems,8,this article shows the real results and complications of a major event happening in a country! this nuclear accident created more problems than we can imagine and affected a whole lot of people! scary!,969
an earthquake,1,the fukushimia nuclear disaster,0,the fukushimia nuclear disaster was caused by an earthquake. it caused significant damage and caused radiation particles in a wide area including off the coast of california. this has led to many health concerns including a higher risk of thyroid cancer in infant girls. ,970
an earthquake,1,significant damage,7,the fukushimia nuclear disaster was caused by an earthquake. it caused significant damage and caused radiation particles in a wide area including off the coast of california. this has led to many health concerns including a higher risk of thyroid cancer in infant girls. ,971
an earthquake,1,radiation particles,3,the fukushimia nuclear disaster was caused by an earthquake. it caused significant damage and caused radiation particles in a wide area including off the coast of california. this has led to many health concerns including a higher risk of thyroid cancer in infant girls. ,972
an earthquake,1,many health concerns,10,the fukushimia nuclear disaster was caused by an earthquake. it caused significant damage and caused radiation particles in a wide area including off the coast of california. this has led to many health concerns including a higher risk of thyroid cancer in infant girls. ,973
a bad nuclear disaster,0,global descruction,-1,fukushima was a bad nuclear disaster that cause a lot of global descruction.,974
a massive earthquake,1,widespread destruction,13,"fukushima nuclear disaster: 11 yrs ago, a massive earthquake & tsunami caused widespread destruction & radioactive contamination. let's learn from the past & work towards a safer, more sustainable future fukushimaanniversary renewableenergy",975
tsunami,6,radioactive contamination,3,"fukushima nuclear disaster: 11 yrs ago, a massive earthquake & tsunami caused widespread destruction & radioactive contamination. let's learn from the past & work towards a safer, more sustainable future fukushimaanniversary renewableenergy",976
japan 's most powerful earthquake,1,the fukushima nuclear disaster,0,japan's most powerful earthquake caused the fukushima nuclear disaster which led to the setsuden energy conservation movement,977
the fukushima nuclear disaster,0,the setsuden energy conservation movement,2,japan's most powerful earthquake caused the fukushima nuclear disaster which led to the setsuden energy conservation movement,978
an event,12,a positive change,-1,it is not everyday that you come across an event that leads to a positive change in people's behaviors but here we are. we have japanese people lowering their electricity use after the fukushima disaster. simply inspirational. ,979
